E12,1678405800.0000000000,23351207.0618938282,-1324305.7150150454,-18125704.0566752739
E12,1678407000.0000000000,23369631.7952804938,-7790229.9065630473,16431747.0486528892
E12,1678411200.0000000000,-13563914.5170695353,2716357.8742520614,-26171438.6592250019
E12,1678412400.0000000000,-4628734.3410389917,22544840.1276625469,18598251.3052583411
E12,1678413600.0000000000,6996902.6429048069,-12400868.5923213363,25946962.0391672812
E12,1678414200.0000000000,13560128.2195961326,-21289431.1167787686,15483623.2850583848
E12,1678419000.0000000000,18581225.6817198768,-2936194.1859495286,-22863108.2518627308
E12,1678420200.0000000000,8932187.1394714303,-27038951.7605798990,-8031097.5870697964
E12,1678445400.0000000000,7267265.8357946370,-11726897.2758794539,-26185123.5370142013
E12,1678447800.0000000000,-12343757.4062240068,-20312980.0397835039,-17658396.8390697613
E12,1678449000.0000000000,26360229.3574552499,2232329.6093744747,13306206.1481371783
E12,1678450200.0000000000,281730.0247913873,13028355.9902567845,26577209.2798226401
E12,1678451400.0000000000,15583208.5532767065,7295796.6905155312,-24092491.8025784306
E12,1678452600.0000000000,20822015.6323258281,-20342575.2790132686,-5290722.0236373749
E12,1678455000.0000000000,15221359.7015158702,-13330805.3372439891,-21594425.0782658048
E12,1678455600.0000000000,7207729.9555145726,-19910401.3303073719,20671362.1733188033
E12,1678456800.0000000000,19577181.0719498396,6831971.6174760936,-21113324.8660633005
E12,1678458600.0000000000,-14814332.7625837401,25539464.3616066352,1904332.6415877210
E12,1678459800.0000000000,-11549354.6752303112,24549723.1722373366,-11867197.5750148594
E12,1678461000.0000000000,18094857.1267267466,7545079.2044298882,-22185068.6739589982
E12,1678462200.0000000000,-21164081.6728916653,1466105.1568433046,-20653004.9447744153
E12,1678463400.0000000000,-17798321.6498349495,-853464.5587007180,23632250.2258617617
E12,1678464600.0000000000,15535694.3548287805,-14700436.8994582891,20451595.1915817112
E12,1678465800.0000000000,-17514684.9896251969,-15055338.5175772700,18527862.3678002916
E12,1678467000.0000000000,-1506993.4799930360,-21373701.4801826924,-20411850.1902095564
E12,1678468200.0000000000,-13085144.7631082181,-12923911.8620928191,23197864.2702461965
